annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;212;2374,2;2025,826;111,3960628;2095,87678
2010;petites;428;14956,01;25472,85;617,7506795;26059,164796
2010;moyennes;103;6133,83;10951,193;225,7883612;13174,80889
2010;grandes;3;272,45;-999;13,25;1011,09263
2020;microexploitations;163;2232,41;1498,892;119,0596032;1621,7738
2020;petites;308;11903,29;18452,846;463,9899206;19129,8577244
2020;moyennes;121;8275,95;13925,573;294,6688095;15888,40937
2020;grandes;9;691,06;1151,366;31,8346032;3734,95767
