annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;262;1833,05;1221,175;180,4218832;1819,55475
2010;petites;121;3467,48;5644,794;170,8034724;6799,33833
2010;moyennes;33;1533,21;3245,118;63,9654605;4504,87084
2010;grandes;-999;-999;-999;-999;-999
2020;microexploitations;186;1508,2;912,213;149,3787302;1503,6881
2020;petites;97;2783,3;4163,08;150,2939683;5299,87144
2020;moyennes;36;1694,27;3804,413;75,5111905;5284,2542
2020;grandes;5;345,52;2069,49;19,5333333;2872,00421
