lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;1109;653;-0,411181244364292;333,1674309;285,240158730159;-0,143853413403505
chefs d'exploitations, coexploitants;309;283;-0,0841423948220065;244,625;214,125;-0,124680633622892
  └─ dont coexploitants familiaux;44;50;0,136363636363636;36,5;41,25;0,13013698630137
main d'œuvre familiale;206;60;-0,70873786407767;62,5;38;-0,392
salariés permanents;17;14;-0,176470588235294;13,375;9,75;-0,271028037383178
sous-total main d'œuvre permanente;532;357;-0,328947368421053;320,5;261,875;-0,182917316692668
saisonniers et salariés occasionnels;577;296;-0,487001733102253;12,6674309;22,4901587;0,775431725465343
