Étiquettes de lignes;apiculture (nombre de ruches);total équins;total bovins;total caprins;total ovins;total porcins;total volailles
Amikuze;10;48;427;9;247;144;369
ca_du_pays_basque;66;811;2839;107;2332;848;2371
Cote Basque Adour;4;4;5;-999;4;-999;18
Errobi;5;101;170;14;158;83;149
Garazi Baigorri;12;238;578;21;629;123;442
Iholdi Oztibarre;-999;49;322;7;282;84;261
Nive Adour;-999;19;62;3;25;14;52
Pays de Bidache;4;35;147;6;31;39;164
Pays d'Hasparren;8;112;382;14;321;133;312
Soule Xiberoa;16;124;550;17;454;148;476
Sud Pays Basque;4;81;196;14;181;-999;128
