echelle;categorie;type;annee;valeur;surface;irrigation;nombre_exploitation_bio;surface_bio
Cote Basque Adour;Surface;fleurs et plantes ornementales;2020;3;1,74;1,74;-999;0
Cote Basque Adour;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;-999;0;0
Cote Basque Adour;Surface;pommes de terre;2020;4;0,65;-999;0;0
Cote Basque Adour;Surface;prairies;2020;15;139,42;-999;-999;0
Cote Basque Adour;Surface;fourrages annuels;2020;0;0;0;0;0
Cote Basque Adour;Surface;céréales;2020;10;55,09;0;0;0
Cote Basque Adour;Surface;vignes;2020;0;0;0;0;0
Errobi;Surface;protéagineux et légumes secs pour leur graine;2010;0;0;0;0;0
Errobi;Surface;céréales;2010;89;529,74;0;0;0
Errobi;Surface;plantes à fibres et plantes industrielles diverses;2010;0;0;0;0;0
Errobi;Surface;fourrages annuels;2010;71;483,12;0;0;0
Errobi;Surface;prairies;2010;354;5755,5;0;0;0
Errobi;Surface;fleurs et plantes ornementales;2010;4;0,51;-999;0;0
Errobi;Surface;vignes;2010;15;3,91;0;0;0
Errobi;Surface;plantes à parfum, aromatiques, médicinales;2010;82;80,19;0,26;0;0
Errobi;Surface;légumes frais, plants de légumes, melons ou fraises;2010;32;32,48;2,82;0;0
Errobi;Surface;oléagineux;2010;-999;-999;0;0;0
Errobi;Surface;pommes de terre;2010;3;0,42;0;0;0
Errobi;Surface;total SAU  dont;2010;414;6954,31;3,33;0;0
Errobi;Surface;cultures fruitières;2010;14;16,23;0;0;0
Errobi;Surface;jachères;2010;14;41,79;0;0;0
Errobi;Surface;protéagineux et légumes secs pour leur graine;2020;0;0;0;0;0
Errobi;Surface;cultures fruitières;2020;19;24,3;-999;12;16,85
Errobi;Surface;jachères;2020;18;38,75;0;4;5,78
Errobi;Surface;plantes à parfum, aromatiques, médicinales;2020;92;152,94;4,22;24;38,93
Errobi;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Errobi;Surface;oléagineux;2020;-999;-999;0;0;0
Errobi;Surface;légumes frais, plants de légumes, melons ou fraises;2020;39;63,56;12,55;17;26,57
Errobi;Surface;pommes de terre;2020;-999;-999;-999;0;0
Errobi;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;0;0
Errobi;Surface;total SAU  dont;2020;315;6331,29;19,81;47;590,97
Errobi;Surface;fourrages annuels;2020;32;229,09;0;-999;0
Errobi;Surface;vignes;2020;5;1,17;0;0;0
Errobi;Surface;céréales;2020;80;455,6;0;8;24,77
Errobi;Surface;prairies;2020;274;5352,66;-999;36;476,51
Garazi Baigorri;Surface;total SAU  dont;2010;848;23245,24;7,7;0;0
Garazi Baigorri;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Garazi Baigorri;Surface;légumes frais, plants de légumes, melons ou fraises;2010;5;2,51;2,43;0;0
Garazi Baigorri;Surface;céréales;2010;43;148,21;0;0;0
Garazi Baigorri;Surface;oléagineux;2010;0;0;0;0;0
Garazi Baigorri;Surface;cultures fruitières;2010;7;14,12;-999;0;0
Garazi Baigorri;Surface;jachères;2010;7;0,8;0;0;0
Garazi Baigorri;Surface;plantes à fibres et plantes industrielles diverses;2010;0;0;0;0;0
Garazi Baigorri;Surface;pommes de terre;2010;-999;-999;-999;0;0
Garazi Baigorri;Surface;fourrages annuels;2010;195;937,65;0;0;0
Garazi Baigorri;Surface;vignes;2010;106;241,6;0;0;0
Garazi Baigorri;Surface;plantes à parfum, aromatiques, médicinales;2010;-999;-999;0;0;0
Garazi Baigorri;Surface;prairies;2010;826;21884,01;0;0;0
Garazi Baigorri;Surface;fleurs et plantes ornementales;2010;-999;-999;-999;0;0
Garazi Baigorri;Surface;légumes frais, plants de légumes, melons ou fraises;2020;23;11,27;4,6;5;7,16
Garazi Baigorri;Surface;cultures fruitières;2020;11;16,12;-999;7;12,17
Garazi Baigorri;Surface;protéagineux et légumes secs pour leur graine;2020;0;0;0;0;0
Garazi Baigorri;Surface;plantes à parfum, aromatiques, médicinales;2020;3;1,05;-999;-999;0
Garazi Baigorri;Surface;pommes de terre;2020;8;0,52;-999;0;0
Garazi Baigorri;Surface;prairies;2020;746;21019,18;-999;40;996,1
Garazi Baigorri;Surface;oléagineux;2020;-999;-999;-999;0;0
Garazi Baigorri;Surface;total SAU  dont;2020;761;22115,04;34,34;59;1153,05
Garazi Baigorri;Surface;plantes à fibres et plantes industrielles diverses;2020;0;0;0;0;0
Garazi Baigorri;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;0;0
Garazi Baigorri;Surface;fourrages annuels;2020;93;534,8;-999;-999;0
Garazi Baigorri;Surface;céréales;2020;60;251,05;-999;12;32,23
Garazi Baigorri;Surface;vignes;2020;71;251,55;0;20;101,11
Garazi Baigorri;Surface;jachères;2020;6;2,76;0;-999;0
Iholdi Oztibarre;Surface;plantes à parfum, aromatiques, médicinales;2010;0;0;0;0;0
Iholdi Oztibarre;Surface;légumes frais, plants de légumes, melons ou fraises;2010;3;2,72;-999;0;0
Iholdi Oztibarre;Surface;vignes;2010;33;15,48;0;0;0
Iholdi Oztibarre;Surface;prairies;2010;383;12234,55;0;0;0
Iholdi Oztibarre;Surface;fourrages annuels;2010;213;864,94;-999;0;0
Iholdi Oztibarre;Surface;fleurs et plantes ornementales;2010;0;0;0;0;0
Iholdi Oztibarre;Surface;total SAU  dont;2010;384;13377,59;9,49;0;0
Iholdi Oztibarre;Surface;cultures fruitières;2010;4;5,32;0;0;0
Iholdi Oztibarre;Surface;céréales;2010;98;241,71;-999;0;0
Iholdi Oztibarre;Surface;oléagineux;2010;-999;-999;0;0;0
Iholdi Oztibarre;Surface;jachères;2010;4;-999;0;0;0
Iholdi Oztibarre;Surface;protéagineux et légumes secs pour leur graine;2010;0;0;0;0;0
Iholdi Oztibarre;Surface;plantes à fibres et plantes industrielles diverses;2010;-999;-999;-999;0;0
Iholdi Oztibarre;Surface;pommes de terre;2010;5;1,11;-999;0;0
Iholdi Oztibarre;Surface;légumes frais, plants de légumes, melons ou fraises;2020;24;16,69;13,68;6;15,9
Iholdi Oztibarre;Surface;fleurs et plantes ornementales;2020;0;0;0;0;0
Iholdi Oztibarre;Surface;prairies;2020;354;12671,24;-999;19;669,69
Iholdi Oztibarre;Surface;jachères;2020;0;0;0;0;0
Iholdi Oztibarre;Surface;pommes de terre;2020;14;0,58;0;-999;0
Iholdi Oztibarre;Surface;fourrages annuels;2020;89;372,89;0;-999;0
Iholdi Oztibarre;Surface;céréales;2020;103;326,78;0;7;26,8
Iholdi Oztibarre;Surface;vignes;2020;20;13,5;0;-999;0
Iholdi Oztibarre;Surface;total SAU  dont;2020;356;13441,75;17,44;23;739,2
Iholdi Oztibarre;Surface;oléagineux;2020;5;27,16;0;-999;0
Iholdi Oztibarre;Surface;plantes à fibres et plantes industrielles diverses;2020;-999;-999;0;-999;0
Iholdi Oztibarre;Surface;protéagineux et légumes secs pour leur graine;2020;-999;-999;0;0;0
Iholdi Oztibarre;Surface;plantes à parfum, aromatiques, médicinales;2020;-999;-999;-999;-999;0
Iholdi Oztibarre;Surface;cultures fruitières;2020;10;9,69;-999;7;8,95
Nive Adour;Surface;protéagineux et légumes secs pour leur graine;2010;0;0;0;0;0
Nive Adour;Surface;prairies;2010;107;1286,83;0;0;0
Nive Adour;Surface;jachères;2010;-999;23,7;0;0;0
