echelle;categorie;type;annee;valeur;sau_tot_ha;sau_moy_ha;etp;Geo Shape
Amikuze;Evolution;PBS totale (k€);0;-9;0;0;0;0
Amikuze;Evolution;âge moyen des chefs d'exploitation;0;133;0;0;0;0
