lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;2178;1643;-0,245638200183655;1213,1735046;1063,51412698413;-0,123361890981305
chefs d'exploitations, coexploitants;1029;967;-0,0602526724975705;892,875;831,625;-0,0685986280274394
  └─ dont coexploitants familiaux;140;189;0,35;128;178,75;0,396484375
main d'œuvre familiale;615;257;-0,582113821138211;265,625;149,375;-0,437647058823529
salariés permanents;41;73;0,780487804878049;35,625;54,75;0,536842105263158
sous-total main d'œuvre permanente;1685;1297;-0,23026706231454;1194,125;1035,75;-0,132628493666911
saisonniers et salariés occasionnels;493;346;-0,298174442190669;19,0485046;27,264127;0,431300124210275
