lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;1050;975;-0,0714285714285714;434,0308817;394,717222222222;-0,0905780236737882
chefs d'exploitations, coexploitants;460;375;-0,184782608695652;292,375;268,25;-0,0825138948268491
  └─ dont coexploitants familiaux;30;46;0,533333333333333;23,875;41;0,717277486910995
main d'œuvre familiale;219;83;-0,621004566210046;86,625;46,5;-0,463203463203463
salariés permanents;26;46;0,769230769230769;20,125;31,5;0,565217391304348
sous-total main d'œuvre permanente;705;504;-0,285106382978723;399,125;346,25;-0,132477294080802
saisonniers et salariés occasionnels;345;471;0,365217391304348;34,9058817;47,3422222;0,356282090419163
