annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;1500;14782,49;10618,985;1002,4438396;13099,30477
2010;petites;2108;66239,88;114016,967;2964,7361071;129628,859764
2010;moyennes;771;38904,91;83246,067;1603,159545;105652,553792
2010;grandes;76;4470,63;18029,031;262,4869351;42986,59604
2020;microexploitations;1263;14951,55;8752,004;865,2165873;11414,2534378
2020;petites;1628;55015,5;87128,434;2215,3327778;100259,9603044
2020;moyennes;796;44160,89;91745,506;1644,9109524;111513,06182
2020;grandes;90;5424,04;23368,078;284,7615873;41375,90974
