devenir_classe;n;sau_ha;n_pcent;sau_pcent
nombre d'exploitations non concernées;3035;105513,28;0,803547789250728;0,882572417453897
total d'exploitations concernées;742;14038,7;0,196452210749272;0,117427582546103
pas de départ du chef ou coexploitant envisagé dans l'immédiat;276;5043,09;0,0730738681493249;0,0421832411307617
reprise par un coexploitant, un membre de la famille ou un tiers;172;4349,37;0,0455387873974053;0,0363805768837957
ne sait pas;258;4115,94;0,068308181096108;0,0344280370764248
disparition au profit de l'agrandissement d'une ou plusieurs autres exploitations;33;484,58;0,00873709293089754;0,00405329966095083
disparition des terres au profit d'un usage non agricole;3;45,72;0,00079428117553614;0,000382427794169532
