lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;12176;8801;-0,277184625492773;5832,8264268;5010,2219047619;-0,141030173340747
chefs d'exploitations, coexploitants;5272;4707;-0,10716995447648;4174,125;3862,875;-0,0745665259186057
  └─ dont coexploitants familiaux;757;879;0,16116248348745;629,375;790;0,255213505461768
main d'œuvre familiale;3044;1253;-0,588370565045992;1276,375;691,25;-0,458427186367643
salariés permanents;289;370;0,280276816608997;219,875;277,75;0,263217737350768
sous-total main d'œuvre permanente;8605;6330;-0,2643811737362;5670,375;4831,875;-0,147873817869188
saisonniers et salariés occasionnels;3571;2471;-0,308036964435732;162,4514268;169,7219048;0,0447547808179669
