echelle;categorie;type;annee;valeur;age_5;age_moy;;;;echelle;annee;Moyenne_age;;;;
Errobi;Age;F;2010;6;(25,30];28;;165;;;;;;;;
Errobi;Age;M;2010;9;(65,70];68;;608;;;;;;;;
Errobi;Age;F;2010;12;(70,Inf];75;;900;;;;;;;;
Errobi;Age;F;2010;8;(30,35];33;;260;;;;;;;;
Errobi;Age;F;2010;7;(65,70];68;;473;;;;;;;;
Errobi;Age;M;2010;4;(0,25];20;;80;;;;;;;;
Errobi;Age;M;2010;36;(55,60];58;;2070;;;;;;;;
Errobi;Age;F;2010;12;(40,45];43;;510;;;;;;;;
Errobi;Age;M;2010;17;(25,30];28;;468;;;;;;;;
Errobi;Age;M;2010;58;(40,45];43;;2465;;;;;;;;
Errobi;Age;M;2010;19;(70,Inf];75;;1425;;;;;;;;
Errobi;Age;F;2010;19;(50,55];53;;998;;;;;;;;
Errobi;Age;F;2010;16;(45,50];48;;760;;;;;;;;
Errobi;Age;F;2010;19;(55,60];58;;1093;;;;;;;;
Errobi;Age;M;2010;28;(60,65];63;;1750;;;;;;;;
Errobi;Age;F;2010;14;(35,40];38;;525;;;;;;;;
Errobi;Age;F;2010;13;(60,65];63;;813;;;;;;;;
Errobi;Age;M;2010;18;(30,35];33;;585;;;;;;;;
Errobi;Age;M;2010;52;(45,50];48;;2470;;;;;;;;
Errobi;Age;M;2010;53;(50,55];53;;2783;;;;;;;;
Errobi;Age;F;2020;4;(30,35];33;;130;;;;;;;;
Errobi;Age;F;2020;7;(70,Inf];75;;525;;;;;;;;
Errobi;Age;M;2020;47;(50,55];53;;2468;;;;;;;;
Errobi;Age;M;2020;19;(30,35];33;;618;;;;;;;;
Errobi;Age;F;2020;15;(40,45];43;;638;;;;;;;;
Errobi;Age;M;2020;8;(25,30];28;;220;;;;;;;;
Errobi;Age;M;2020;22;(60,65];63;;1375;;;;;;;;
Errobi;Age;M;2020;25;(40,45];43;;1063;;;;;;;;
Errobi;Age;M;2020;9;(70,Inf];75;;675;;;;;;;;
Errobi;Age;F;2020;14;(50,55];53;;735;;;;;;;;
Errobi;Age;F;2020;14;(55,60];58;;805;;;;;;;;
Errobi;Age;M;2020;9;(0,25];20;;180;;;;;;;;
Errobi;Age;M;2020;42;(45,50];48;;1995;;;;;;;;
Errobi;Age;M;2020;9;(65,70];68;;608;;;;;;;;
Errobi;Age;F;2020;3;(25,30];28;;83;;;;;;;;
Errobi;Age;M;2020;41;(55,60];58;;2358;;;;;;;;
Errobi;Age;M;2020;36;(35,40];38;;1350;;;;;;;;
Errobi;Age;F;2020;13;(35,40];38;;488;;;;;;;;
Errobi;Age;F;2020;17;(45,50];48;;808;;;;;;;;
Errobi;Age;F;2020;8;(60,65];63;;500;;;;;;;;
Errobi;Age;F;2020;13;(65,70];68;;878;;;;;;;;
Garazi Baigorri;Age;M;2010;14;(70,Inf];75;;1050;;;;;;;;
Garazi Baigorri;Age;M;2010;10;(65,70];68;;675;;;;;;;;
Garazi Baigorri;Age;F;2010;12;(25,30];28;;330;;;;;;;;
Garazi Baigorri;Age;F;2010;21;(30,35];33;;683;;;;;;;;
Garazi Baigorri;Age;M;2010;124;(40,45];43;;5270;;;;;;;;
Garazi Baigorri;Age;M;2010;99;(55,60];58;;5693;;;;;;;;
Garazi Baigorri;Age;F;2010;36;(35,40];38;;1350;;;;;;;;
Garazi Baigorri;Age;F;2010;47;(40,45];43;;1998;;;;;;;;
Garazi Baigorri;Age;F;2010;3;(65,70];68;;203;;;;;;;;
Garazi Baigorri;Age;F;2010;6;(70,Inf];75;;450;;;;;;;;
Garazi Baigorri;Age;M;2010;73;(30,35];33;;2373;;;;;;;;
Garazi Baigorri;Age;M;2010;97;(35,40];38;;3638;;;;;;;;
Garazi Baigorri;Age;F;2010;45;(55,60];58;;2588;;;;;;;;
Garazi Baigorri;Age;M;2010;21;(0,25];20;;420;;;;;;;;
Garazi Baigorri;Age;M;2010;60;(25,30];28;;1650;;;;;;;;
Garazi Baigorri;Age;F;2010;7;(0,25];20;;140;;;;;;;;
Garazi Baigorri;Age;F;2010;59;(50,55];53;;3098;;;;;;;;
Garazi Baigorri;Age;M;2010;110;(50,55];53;;5775;;;;;;;;
Garazi Baigorri;Age;F;2010;37;(45,50];48;;1758;;;;;;;;
Garazi Baigorri;Age;F;2010;11;(60,65];63;;688;;;;;;;;
Garazi Baigorri;Age;M;2010;111;(45,50];48;;5273;;;;;;;;
Garazi Baigorri;Age;M;2010;26;(60,65];63;;1625;;;;;;;;
Garazi Baigorri;Age;M;2020;113;(50,55];53;;5933;;;;;;;;
Garazi Baigorri;Age;F;2020;10;(25,30];28;;275;;;;;;;;
Garazi Baigorri;Age;F;2020;44;(45,50];48;;2090;;;;;;;;
Garazi Baigorri;Age;F;2020;54;(55,60];58;;3105;;;;;;;;
Garazi Baigorri;Age;F;2020;47;(50,55];53;;2468;;;;;;;;
Garazi Baigorri;Age;F;2020;24;(60,65];63;;1500;;;;;;;;
Garazi Baigorri;Age;M;2020;74;(35,40];38;;2775;;;;;;;;
Garazi Baigorri;Age;M;2020;104;(45,50];48;;4940;;;;;;;;
Garazi Baigorri;Age;M;2020;90;(55,60];58;;5175;;;;;;;;
Garazi Baigorri;Age;F;2020;14;(65,70];68;;945;;;;;;;;
Garazi Baigorri;Age;M;2020;83;(40,45];43;;3528;;;;;;;;
Garazi Baigorri;Age;F;2020;3;(0,25];20;;60;;;;;;;;
Garazi Baigorri;Age;F;2020;36;(35,40];38;;1350;;;;;;;;
Garazi Baigorri;Age;F;2020;43;(40,45];43;;1828;;;;;;;;
Garazi Baigorri;Age;M;2020;23;(25,30];28;;633;;;;;;;;
Garazi Baigorri;Age;M;2020;54;(30,35];33;;1755;;;;;;;;
Garazi Baigorri;Age;M;2020;19;(65,70];68;;1283;;;;;;;;
Garazi Baigorri;Age;M;2020;39;(0,25];20;;780;;;;;;;;
Garazi Baigorri;Age;M;2020;22;(70,Inf];75;;1650;;;;;;;;
Garazi Baigorri;Age;F;2020;24;(30,35];33;;780;;;;;;;;
Garazi Baigorri;Age;F;2020;9;(70,Inf];75;;675;;;;;;;;
Garazi Baigorri;Age;M;2020;38;(60,65];63;;2375;;;;;;;;
Iholdi Oztibarre;Age;0;2010;18;(0,25];20;;360;;;;;;;;
Iholdi Oztibarre;Age;0;2010;14;(60,65];63;;875;;;;;;;;
Iholdi Oztibarre;Age;0;2010;7;(65,70];68;;473;;;;;;;;
Iholdi Oztibarre;Age;0;2010;11;(70,Inf];75;;825;;;;;;;;
Iholdi Oztibarre;Age;0;2010;71;(35,40];38;;2663;;;;;;;;
Iholdi Oztibarre;Age;0;2010;76;(50,55];53;;3990;;;;;;;;
Iholdi Oztibarre;Age;0;2010;28;(25,30];28;;770;;;;;;;;
Iholdi Oztibarre;Age;0;2010;87;(45,50];48;;4133;;;;;;;;
