echelle;categorie;type;annee;valeur;ugb;tetes;bio
Sud Pays Basque;Cheptel;truies;2010;-999;-999;-999;0
Sud Pays Basque;Cheptel;juments lourdes;2010;17;163;163;0
Sud Pays Basque;Cheptel;total ovins;2010;181;5218,67;28932;0
Sud Pays Basque;Cheptel;total caprins;2010;14;49,98;177;0
Sud Pays Basque;Cheptel;apiculture (nombre de ruches);2010;4;0;264;0
Sud Pays Basque;Cheptel;total ensemble du cheptel;2010;337;11699,926;0;0
Sud Pays Basque;Cheptel;total porcins;2010;-999;466,29;-999;0
Sud Pays Basque;Cheptel;lapines mères;2010;36;42,418;254;0
Sud Pays Basque;Cheptel;total équins;2010;81;942;1018;0
Sud Pays Basque;Cheptel;total bovins;2010;196;4882,97;5344;0
Sud Pays Basque;Cheptel;vaches allaitantes;2010;141;1036,8;1152;0
Sud Pays Basque;Cheptel;chèvres;2010;13;48,3;161;0
Sud Pays Basque;Cheptel;juments selle;2010;24;156,6;174;0
Sud Pays Basque;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;118;41,342;2953;0
Sud Pays Basque;Cheptel;vaches laitières;2010;56;1825,55;1259;0
Sud Pays Basque;Cheptel;brebis mères allaitantes;2010;90;890,63;5239;0
Sud Pays Basque;Cheptel;poulets de chair et coqs;2010;26;17,974;1634;0
Sud Pays Basque;Cheptel;brebis mères laitières;2010;93;3741,4;18707;0
Sud Pays Basque;Cheptel;total volailles;2010;128;97,598;6311;0
Sud Pays Basque;Cheptel;brebis mères laitières;2020;68;3173,4;15867;5
Sud Pays Basque;Cheptel;total volailles;2020;21;58,144;4641;3
Sud Pays Basque;Cheptel;lapines mères;2020;3;1,503;9;-999
Sud Pays Basque;Cheptel;total caprins;2020;10;174,82;655;-999
Sud Pays Basque;Cheptel;chèvres;2020;10;158,4;528;0
Sud Pays Basque;Cheptel;juments selle;2020;20;432;480;0
Sud Pays Basque;Cheptel;total porcins;2020;21;291,28;840;3
Sud Pays Basque;Cheptel;poulets de chair et coqs;2020;3;18,92;1720;0
Sud Pays Basque;Cheptel;apiculture (nombre de ruches);2020;4;0;644;-999
Sud Pays Basque;Cheptel;total ovins;2020;138;4703,42;27416;7
Sud Pays Basque;Cheptel;vaches laitières;2020;29;1048,35;723;-999
Sud Pays Basque;Cheptel;vaches allaitantes;2020;108;1141,2;1268;0
Sud Pays Basque;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;18;34,104;2436;3
Sud Pays Basque;Cheptel;total ensemble du cheptel;2020;234;10273,297;0;16
Sud Pays Basque;Cheptel;total bovins;2020;130;4205,83;4904;8
Sud Pays Basque;Cheptel;brebis mères allaitantes;2020;68;715,36;4208;-999
Sud Pays Basque;Cheptel;truies;2020;3;3,36;16;0
Sud Pays Basque;Cheptel;total équins;2020;40;838,3;879;-999
Sud Pays Basque;Cheptel;juments lourdes;2020;12;122;122;0
