echelle;categorie;type;annee;valeur;ugb;tetes;bio
Cote Basque Adour;Cheptel;vaches allaitantes;2010;-999;-999;-999;0
Cote Basque Adour;Cheptel;juments selle;2010;-999;-999;-999;0
Cote Basque Adour;Cheptel;vaches laitières;2010;3;23,2;16;0
Cote Basque Adour;Cheptel;brebis mères laitières;2010;-999;-999;-999;0
Cote Basque Adour;Cheptel;total volailles;2010;18;19,542;1509;0
Cote Basque Adour;Cheptel;total ensemble du cheptel;2010;30;344,354;0;0
Cote Basque Adour;Cheptel;poulets de chair et coqs;2010;-999;-999;-999;0
Cote Basque Adour;Cheptel;truies;2010;0;0;0;0
Cote Basque Adour;Cheptel;total ovins;2010;4;83,53;471;0
Cote Basque Adour;Cheptel;total bovins;2020;4;39,45;45;0
Cote Basque Adour;Cheptel;vaches allaitantes;2020;3;5,4;6;0
Cote Basque Adour;Cheptel;total porcins;2020;-999;-999;-999;0
Cote Basque Adour;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;6;14,294;1021;0
Cote Basque Adour;Cheptel;poulets de chair et coqs;2020;-999;-999;-999;0
Cote Basque Adour;Cheptel;apiculture (nombre de ruches);2020;3;0;267;0
Cote Basque Adour;Cheptel;vaches laitières;2020;-999;-999;-999;0
Cote Basque Adour;Cheptel;total ovins;2020;4;35,8;224;0
Cote Basque Adour;Cheptel;brebis mères laitières;2020;0;0;0;0
Cote Basque Adour;Cheptel;chèvres;2020;0;0;0;0
Cote Basque Adour;Cheptel;total équins;2020;-999;-999;-999;0
Cote Basque Adour;Cheptel;juments lourdes;2020;0;0;0;0
Cote Basque Adour;Cheptel;juments selle;2020;-999;-999;-999;0
Cote Basque Adour;Cheptel;brebis mères allaitantes;2020;4;31,96;188;0
Cote Basque Adour;Cheptel;total caprins;2020;0;0;0;0
Cote Basque Adour;Cheptel;total volailles;2020;6;18,025;1352;0
Cote Basque Adour;Cheptel;total ensemble du cheptel;2020;12;129,629;0;0
Cote Basque Adour;Cheptel;truies;2020;0;0;0;0
Cote Basque Adour;Cheptel;lapines mères;2020;-999;-999;-999;0
Errobi;Cheptel;vaches laitières;2010;30;967,15;667;0
Errobi;Cheptel;total ovins;2010;158;5356,33;29656;0
Errobi;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;143;53,942;3853;0
Errobi;Cheptel;apiculture (nombre de ruches);2010;5;0;650;0
Errobi;Cheptel;truies;2010;6;6,09;29;0
Errobi;Cheptel;lapines mères;2010;70;155,143;929;0
Errobi;Cheptel;total équins;2010;101;1034,8;1153;0
Errobi;Cheptel;juments lourdes;2010;36;262;262;0
Errobi;Cheptel;vaches allaitantes;2010;146;1449;1610;0
Errobi;Cheptel;brebis mères allaitantes;2010;80;682,55;4015;0
Errobi;Cheptel;poulets de chair et coqs;2010;23;43,142;3922;0
Errobi;Cheptel;total ensemble du cheptel;2010;305;11318,372;0;0
Errobi;Cheptel;brebis mères laitières;2010;74;4022,8;20114;0
Errobi;Cheptel;total caprins;2010;14;125,76;620;0
Errobi;Cheptel;chèvres;2010;12;77,7;259;0
Errobi;Cheptel;juments selle;2010;41;414;460;0
Errobi;Cheptel;total porcins;2010;83;274,61;753;0
Errobi;Cheptel;total volailles;2010;149;159,599;10656;0
Errobi;Cheptel;total bovins;2010;170;4212,13;4826;0
Errobi;Cheptel;total bovins;2020;115;3304,68;3894;-999
Errobi;Cheptel;vaches laitières;2020;12;414,7;286;0
Errobi;Cheptel;poulets de chair et coqs;2020;6;214,621;19511;0
Errobi;Cheptel;brebis mères allaitantes;2020;61;770,44;4532;4
Errobi;Cheptel;chèvres;2020;10;249;830;0
Errobi;Cheptel;brebis mères laitières;2020;60;4018,8;20094;-999
Errobi;Cheptel;vaches allaitantes;2020;104;1401,3;1557;0
Errobi;Cheptel;total porcins;2020;21;246,05;670;-999
Errobi;Cheptel;truies;2020;-999;-999;-999;0
Errobi;Cheptel;total équins;2020;54;908,3;939;5
Errobi;Cheptel;juments selle;2020;27;370,8;412;0
Errobi;Cheptel;apiculture (nombre de ruches);2020;7;0;1196;-999
Errobi;Cheptel;total ovins;2020;120;5866,52;34100;6
Errobi;Cheptel;juments lourdes;2020;24;230;230;0
Errobi;Cheptel;total ensemble du cheptel;2020;219;10949,196;0;13
Errobi;Cheptel;lapines mères;2020;6;4,342;26;0
Errobi;Cheptel;total caprins;2020;10;304,68;1386;-999
Errobi;Cheptel;total volailles;2020;28;314,624;25684;0
Errobi;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;24;62,188;4442;0
Garazi Baigorri;Cheptel;brebis mères allaitantes;2010;108;1517,08;8924;0
Garazi Baigorri;Cheptel;chèvres;2010;19;156;520;0
Garazi Baigorri;Cheptel;lapines mères;2010;113;81,997;491;0
Garazi Baigorri;Cheptel;brebis mères laitières;2010;522;24912;124560;0
Garazi Baigorri;Cheptel;vaches allaitantes;2010;537;7009,2;7788;0
Garazi Baigorri;Cheptel;total caprins;2010;21;177,42;709;0
Garazi Baigorri;Cheptel;juments selle;2010;61;433,8;482;0
Garazi Baigorri;Cheptel;total porcins;2010;123;2018,39;7290;0
Garazi Baigorri;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;-999;-999;-999;0
Garazi Baigorri;Cheptel;poulets de chair et coqs;2010;-999;-999;-999;0
Garazi Baigorri;Cheptel;apiculture (nombre de ruches);2010;12;0;380;0
Garazi Baigorri;Cheptel;total équins;2010;238;1763,1;1894;0
Garazi Baigorri;Cheptel;truies;2010;16;294,63;1403;0
Garazi Baigorri;Cheptel;total ensemble du cheptel;2010;836;50498,77;0;0
Garazi Baigorri;Cheptel;vaches laitières;2010;49;1961,85;1353;0
Garazi Baigorri;Cheptel;total volailles;2010;442;1104,933;78177;0
Garazi Baigorri;Cheptel;total bovins;2010;578;15471,53;18445;0
Garazi Baigorri;Cheptel;total ovins;2010;629;29881,4;162868;0
Garazi Baigorri;Cheptel;juments lourdes;2010;109;777;777;0
Garazi Baigorri;Cheptel;vaches laitières;2020;42;1945,9;1342;4
Garazi Baigorri;Cheptel;brebis mères allaitantes;2020;127;2201,84;12952;7
Garazi Baigorri;Cheptel;total porcins;2020;66;3629,8;13488;4
Garazi Baigorri;Cheptel;truies;2020;14;105,42;502;0
Garazi Baigorri;Cheptel;total caprins;2020;17;162,48;680;-999
Garazi Baigorri;Cheptel;total ensemble du cheptel;2020;705;50532,953;0;35
Garazi Baigorri;Cheptel;total ovins;2020;535;29469,28;168335;21
Garazi Baigorri;Cheptel;total volailles;2020;50;1403,568;103540;7
Garazi Baigorri;Cheptel;total bovins;2020;436;14331,66;16920;13
Garazi Baigorri;Cheptel;vaches allaitantes;2020;404;6491,7;7213;0
Garazi Baigorri;Cheptel;brebis mères laitières;2020;421;22417,6;112088;16
Garazi Baigorri;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;42;-999;-999;5
Garazi Baigorri;Cheptel;lapines mères;2020;17;15,865;95;-999
Garazi Baigorri;Cheptel;chèvres;2020;17;133,5;445;0
Garazi Baigorri;Cheptel;total équins;2020;175;1520,3;1556;8
Garazi Baigorri;Cheptel;juments lourdes;2020;92;727;727;0
Garazi Baigorri;Cheptel;juments selle;2020;61;499,5;555;0
Garazi Baigorri;Cheptel;poulets de chair et coqs;2020;8;-999;-999;-999
Garazi Baigorri;Cheptel;apiculture (nombre de ruches);2020;-999;0;-999;-999
Iholdi Oztibarre;Cheptel;apiculture (nombre de ruches);2010;-999;0;-999;0
Iholdi Oztibarre;Cheptel;vaches laitières;2010;25;968,6;668;0
Iholdi Oztibarre;Cheptel;brebis mères laitières;2010;257;12519,8;62599;0
Iholdi Oztibarre;Cheptel;brebis mères allaitantes;2010;21;300,73;1769;0
Iholdi Oztibarre;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;252;54,138;3867;0
Iholdi Oztibarre;Cheptel;chèvres;2010;7;8,7;29;0
Iholdi Oztibarre;Cheptel;juments selle;2010;11;71,1;79;0
Iholdi Oztibarre;Cheptel;total volailles;2010;261;908,005;43394;0
Iholdi Oztibarre;Cheptel;total équins;2010;49;280;300;0
Iholdi Oztibarre;Cheptel;poulets de chair et coqs;2010;69;10,648;968;0
Iholdi Oztibarre;Cheptel;vaches allaitantes;2010;299;4795,2;5328;0
Iholdi Oztibarre;Cheptel;total ovins;2010;282;14857,17;81702;0
Iholdi Oztibarre;Cheptel;total porcins;2010;84;1345,81;3687;0
Iholdi Oztibarre;Cheptel;lapines mères;2010;102;79,826;478;0
Iholdi Oztibarre;Cheptel;total ensemble du cheptel;2010;377;27650,211;0;0
Iholdi Oztibarre;Cheptel;total bovins;2010;322;10170,2;12414;0
Iholdi Oztibarre;Cheptel;truies;2010;6;11,55;55;0
Iholdi Oztibarre;Cheptel;total caprins;2010;7;9,2;36;0
Iholdi Oztibarre;Cheptel;juments lourdes;2010;26;113;113;0
Iholdi Oztibarre;Cheptel;vaches laitières;2020;22;725;500;-999
Iholdi Oztibarre;Cheptel;total équins;2020;52;478;488;4
Iholdi Oztibarre;Cheptel;apiculture (nombre de ruches);2020;3;0;49;3
Iholdi Oztibarre;Cheptel;vaches allaitantes;2020;241;4311,9;4791;0
Iholdi Oztibarre;Cheptel;juments lourdes;2020;33;220;220;0
Iholdi Oztibarre;Cheptel;total porcins;2020;27;714,77;2067;-999
Iholdi Oztibarre;Cheptel;total ensemble du cheptel;2020;336;27392,763;0;16
Iholdi Oztibarre;Cheptel;chèvres;2020;9;269,1;897;0
Iholdi Oztibarre;Cheptel;juments selle;2020;14;130,5;145;0
Iholdi Oztibarre;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;28;8,148;582;-999
Iholdi Oztibarre;Cheptel;poulets de chair et coqs;2020;8;58,113;5283;-999
Iholdi Oztibarre;Cheptel;truies;2020;4;16,17;77;0
Iholdi Oztibarre;Cheptel;lapines mères;2020;4;2,004;12;-999
Iholdi Oztibarre;Cheptel;brebis mères laitières;2020;216;12594,8;62974;9
Iholdi Oztibarre;Cheptel;total caprins;2020;9;298,7;1141;-999
Iholdi Oztibarre;Cheptel;total volailles;2020;39;569,509;29047;6
Iholdi Oztibarre;Cheptel;total ovins;2020;249;16050,7;91684;9
Iholdi Oztibarre;Cheptel;brebis mères allaitantes;2020;46;682,72;4016;0
Iholdi Oztibarre;Cheptel;total bovins;2020;259;9279,08;11389;7
Nive Adour;Cheptel;total ovins;2010;25;172,18;1042;0
Nive Adour;Cheptel;juments lourdes;2010;5;33;33;0
Nive Adour;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;47;11,046;789;0
Nive Adour;Cheptel;vaches allaitantes;2010;44;567;630;0
Nive Adour;Cheptel;brebis mères laitières;2010;7;86,6;433;0
Nive Adour;Cheptel;juments selle;2010;6;10,8;12;0
Nive Adour;Cheptel;total porcins;2010;14;1084,82;4244;0
Nive Adour;Cheptel;total volailles;2010;52;323,059;24351;0
Nive Adour;Cheptel;total ensemble du cheptel;2010;92;3448,083;0;0
Nive Adour;Cheptel;total équins;2010;19;107,4;115;0
Nive Adour;Cheptel;lapines mères;2010;13;8,684;52;0
Nive Adour;Cheptel;brebis mères allaitantes;2010;17;46,24;272;0
Nive Adour;Cheptel;chèvres;2010;3;2,4;8;0
Nive Adour;Cheptel;total bovins;2010;62;1749,42;1949;0
Nive Adour;Cheptel;vaches laitières;2010;20;527,8;364;0
Nive Adour;Cheptel;total caprins;2010;3;2,52;10;0
Nive Adour;Cheptel;poulets de chair et coqs;2010;4;207,9;18900;0
Nive Adour;Cheptel;apiculture (nombre de ruches);2010;-999;0;-999;0
Nive Adour;Cheptel;truies;2010;-999;-999;-999;0
Nive Adour;Cheptel;chèvres;2020;-999;-999;-999;0
Nive Adour;Cheptel;juments lourdes;2020;3;14;14;0
Nive Adour;Cheptel;truies;2020;0;0;0;0
Nive Adour;Cheptel;total volailles;2020;10;333,137;25853;0
Nive Adour;Cheptel;total ensemble du cheptel;2020;62;2614,417;0;4
Nive Adour;Cheptel;brebis mères allaitantes;2020;14;115,6;680;0
Nive Adour;Cheptel;apiculture (nombre de ruches);2020;5;0;1244;3
Nive Adour;Cheptel;vaches allaitantes;2020;29;368,1;409;0
Nive Adour;Cheptel;juments selle;2020;6;23,4;26;0
Nive Adour;Cheptel;lapines mères;2020;0;0;0;0
Nive Adour;Cheptel;total bovins;2020;34;1064,4;1186;-999
Nive Adour;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;5;4,172;298;0
Nive Adour;Cheptel;vaches laitières;2020;8;269,7;186;-999
Nive Adour;Cheptel;total équins;2020;10;67,8;70;0
Nive Adour;Cheptel;brebis mères laitières;2020;3;82,4;412;0
Nive Adour;Cheptel;total ovins;2020;17;264,22;1717;0
Nive Adour;Cheptel;total caprins;2020;-999;-999;-999;0
Nive Adour;Cheptel;total porcins;2020;6;881,44;3188;0
