echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Cote Basque Adour;Otex;fruits ou autres cultures permanentes;2010;3;31,14;0;2,7620087;156,3382;3900
Cote Basque Adour;Otex;bovins viande;2010;-999;-999;-999;-999;-999;4600
Cote Basque Adour;Otex;ovins ou caprins;2010;-999;-999;-999;-999;-999;4813
Cote Basque Adour;Otex;combinaisons de granivores (porcins, volailles);2010;-999;-999;-999;-999;-999;5374
Cote Basque Adour;Otex;fleurs et/ou horticulture diverse;2010;7;30,63;-999;34,6995997;1193,29225;2900
Cote Basque Adour;Otex;bovins mixtes;2010;-999;-999;-999;-999;-999;4700
Cote Basque Adour;Otex;équidés et/ou autres herbivores;2010;4;119,24;164,088;21,4602002;187,82051;4840
Cote Basque Adour;Otex;polyculture et/ou polyélevage;2010;7;51,32;34,295;11,6280932;247,89094;6184
Cote Basque Adour;Otex;autres grandes cultures;2010;3;-999;-999;3,75;-999;1600
Cote Basque Adour;Otex;bovins lait;2010;-999;-999;-999;-999;-999;4500
Cote Basque Adour;Otex;volailles;2010;-999;-999;-999;-999;-999;5200
Cote Basque Adour;Otex;fleurs et/ou horticulture diverse;2020;5;46,14;-999;34,305;1004,83937;2900
Cote Basque Adour;Otex;bovins mixtes;2020;-999;-999;-999;-999;-999;4700
Cote Basque Adour;Otex;ovins ou caprins;2020;-999;-999;-999;-999;-999;4813
Cote Basque Adour;Otex;fruits ou autres cultures permanentes;2020;-999;-999;0;-999;-999;3900
Cote Basque Adour;Otex;équidés et/ou autres herbivores;2020;-999;-999;-999;-999;-999;4840
Cote Basque Adour;Otex;autres grandes cultures;2020;-999;-999;0;-999;-999;1600
Cote Basque Adour;Otex;non classées;2020;-999;-999;0;-999;-999;9000
Cote Basque Adour;Otex;polyculture et/ou polyélevage;2020;4;-999;-999;2;64,25761;6184
Cote Basque Adour;Otex;légumes ou champignons;2020;4;-999;-999;7,34;333,79278;2800
Cote Basque Adour;Otex;céréales et/ou oléoprotéagineux;2020;7;52,04;-999;3,0088889;36,555;1500
Cote Basque Adour;Otex;bovins viande;2020;-999;-999;-999;-999;-999;4600
Errobi;Otex;bovins lait;2010;18;567,33;1309,406;29,7157217;1663,11283;4500
Errobi;Otex;volailles;2010;4;39,07;90,813;5,9166667;224,24702;5200
