echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Soule Xiberoa;Otex;volailles;2020;11;251,89;839,753;27,2911111;2200,16925;5200
Soule Xiberoa;Otex;légumes ou champignons;2020;-999;-999;0;-999;-999;2800
Soule Xiberoa;Otex;équidés et/ou autres herbivores;2020;41;1161,84;1577,765;49,8416667;1692,77947;4840
Soule Xiberoa;Otex;autres grandes cultures;2020;31;484,41;0;14,8207143;-999;1600
Soule Xiberoa;Otex;bovins mixtes;2020;8;232,02;403,36;9,5;394,63531;4700
Soule Xiberoa;Otex;fleurs et/ou horticulture diverse;2020;-999;-999;-999;-999;-999;2900
Soule Xiberoa;Otex;ovins ou caprins;2020;324;14264,95;24599,821;562,2784921;25984,31428;4813
Soule Xiberoa;Otex;bovins viande;2020;128;4578,47;5649,125;152,638254;4630,81321;4600
Soule Xiberoa;Otex;combinaisons de granivores (porcins, volailles);2020;5;166,55;294,98;19,6427778;517,47285;5374
Soule Xiberoa;Otex;polyculture et/ou polyélevage;2020;21;1055,67;1020,783;41,1857143;2625,02138;6184
Sud Pays Basque;Otex;céréales et/ou oléoprotéagineux;2010;14;283,96;16,253;9,194869;244,89419;1500
Sud Pays Basque;Otex;viticulture;2010;-999;-999;0;-999;-999;3500
Sud Pays Basque;Otex;fruits ou autres cultures permanentes;2010;3;8,04;0;-999;415,41066;3900
Sud Pays Basque;Otex;bovins lait;2010;31;1001,61;1563,126;48,3425234;2069,80121;4500
Sud Pays Basque;Otex;fleurs et/ou horticulture diverse;2010;6;35,54;-999;6,5644132;291,19485;2900
Sud Pays Basque;Otex;autres grandes cultures;2010;38;719,4;-999;27,027038;93,19317;1600
Sud Pays Basque;Otex;bovins mixtes;2010;7;341,73;559,186;12,2630678;707,05114;4700
Sud Pays Basque;Otex;ovins ou caprins;2010;143;2486,86;6080,9;172,0609761;7205,15102;4813
Sud Pays Basque;Otex;légumes ou champignons;2010;-999;-999;0;-999;-999;2800
Sud Pays Basque;Otex;bovins viande;2010;54;727,59;1124,575;44,7025588;1002,79359;4600
Sud Pays Basque;Otex;équidés et/ou autres herbivores;2010;48;662;1541,807;36,41832;1595,08434;4840
Sud Pays Basque;Otex;porcins;2010;-999;-999;-999;-999;-999;5100
Sud Pays Basque;Otex;combinaisons de granivores (porcins, volailles);2010;9;17,75;35,325;5,2742906;44,70038;5374
Sud Pays Basque;Otex;polyculture et/ou polyélevage;2010;33;479,38;324,684;31,3142804;710,19278;6184
Sud Pays Basque;Otex;volailles;2010;5;36,05;55,19;4,5099782;-999;5200
Sud Pays Basque;Otex;légumes ou champignons;2020;13;98,02;108,88;18,98;910,92572;2800
Sud Pays Basque;Otex;autres grandes cultures;2020;48;481,33;-999;41,0090476;156,68747;1600
Sud Pays Basque;Otex;volailles;2020;-999;-999;-999;-999;-999;5200
Sud Pays Basque;Otex;ovins ou caprins;2020;104;2524,33;4890,034;138,3375397;5637,22645;4813
Sud Pays Basque;Otex;bovins lait;2020;13;564,16;847,784;18,4247619;1140,20585;4500
Sud Pays Basque;Otex;bovins viande;2020;44;1027,31;1688,92;41,266746;1551,23525;4600
Sud Pays Basque;Otex;combinaisons de granivores (porcins, volailles);2020;3;18,88;43,805;2,5952381;41,29328;5374
Sud Pays Basque;Otex;bovins mixtes;2020;6;126,96;313,854;6,375;350,76681;4700
Sud Pays Basque;Otex;non classées;2020;-999;-999;0;-999;-999;9000
Sud Pays Basque;Otex;viticulture;2020;-999;-999;0;-999;-999;3500
Sud Pays Basque;Otex;porcins;2020;4;67,76;188,59;4,7138889;121,47774;5100
Sud Pays Basque;Otex;polyculture et/ou polyélevage;2020;18;467,67;435,946;44,0094444;1266,35429;6184
Sud Pays Basque;Otex;céréales et/ou oléoprotéagineux;2020;12;252,52;-999;9,375;203,81391;1500
Sud Pays Basque;Otex;fruits ou autres cultures permanentes;2020;4;10,9;0;3,781746;115,9903;3900
Sud Pays Basque;Otex;équidés et/ou autres herbivores;2020;33;768,75;1714,82;37,1735714;1809,34069;4840
Sud Pays Basque;Otex;fleurs et/ou horticulture diverse;2020;8;37,42;-999;14,3751587;422,93812;2900
