lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;1324;866;-0,345921450151057;815,7218674;593,21873015873;-0,272768386055982
chefs d'exploitations, coexploitants;686;614;-0,104956268221574;557,375;485,625;-0,1287284144427
  └─ dont coexploitants familiaux;105;99;-0,0571428571428572;84,75;89;0,0501474926253687
main d'œuvre familiale;416;150;-0,639423076923077;197,875;63,375;-0,679722046746684
salariés permanents;73;47;-0,356164383561644;49,375;33,75;-0,316455696202532
sous-total main d'œuvre permanente;1175;811;-0,309787234042553;804,625;582,75;-0,275749572782352
saisonniers et salariés occasionnels;149;55;-0,630872483221476;11,0968674;8,7187302;-0,214307075526558
