insee_com;territoire;;;
64086;Pays d'Hasparren;;;
64134;Pays d'Hasparren;;;
64147;Pays d'Hasparren;;;
64256;Pays d'Hasparren;;;
64259;Pays d'Hasparren;;;
64277;Pays d'Hasparren;;;
64289;Pays d'Hasparren;;;
64364;Pays d'Hasparren;;;
64377;Pays d'Hasparren;;;
64476;Pays d'Hasparren;;;
64489;Pays d'Hasparren;;;
