sexe;age_5;2010;2020;
F;(25,30];6;3;
F;(30,35];8;4;
F;(35,40];14;13;
F;(40,45];12;15;
F;(45,50];16;17;
F;(50,55];19;14;
F;(55,60];19;14;
F;(60,65];13;8;
F;(65,70];7;13;
F;(70,Inf];12;7;
M;(0,25];4;9;
M;(25,30];17;8;
M;(30,35];18;19;
M;(35,40];40;36;
M;(40,45];58;25;
M;(45,50];52;42;
M;(50,55];53;47;
M;(55,60];36;41;
M;(60,65];28;22;
M;(65,70];9;9;
M;(70,Inf];19;9;
