devenir_classe;n;sau_ha;n_pcent;sau_pcent
nombre d'exploitations non concernées;256;5219,66;0,790123456790123;0,82442282694364
total d'exploitations concernées;68;1111,63;0,209876543209877;0,17557717305636
pas de départ du chef ou coexploitant envisagé dans l'immédiat;28;398,4;0,0864197530864197;0,062925564932265
reprise par un coexploitant, un membre de la famille ou un tiers;14;438;0,0432098765432099;0,0691802144586648
ne sait pas;25;269,23;0,0771604938271605;0,0425237194947633
disparition au profit de l'agrandissement d'une ou plusieurs autres exploitations;0;0;0;0
disparition des terres au profit d'un usage non agricole;-999;-999;-999;-999
