annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;370;5366,25;8148,489;320,1322699;10195,62643
2010;GAEC;11;402,94;996,167;33,3927596;1321,70851
2010;EARL;27;975,27;1883,056;64,7141855;2663,99004
2010;autres statuts;10;209,85;290,66;15,7916667;426,16163
2020;exploitations individuelles;253;3545,71;5781,543;219,2049206;7976,35419
2020;GAEC;37;1516,82;2870,499;100,6765873;3741,70444
2020;EARL;25;1023,43;2125,974;63,3257143;2981,42722
2020;autres statuts;9;245,33;171,18;11,51;260,3321
