annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;173;4577,88;5027,984;179,403179;9471,545492
2010;GAEC;9;907,96;1390,72;24,0262009;2391,08147
2010;EARL;55;3085,28;4496,212;98,3360594;10544,22767
2010;autres statuts;19;993,98;2227,102;31,4019916;3859,30136
2020;exploitations individuelles;136;3956,84;3328,933;103,1211905;5559,83482
2020;GAEC;15;1251,97;1876,5;33,2888889;3035,60509
2020;EARL;58;3154,9;4435,737;103,2257143;9884,82174
2020;autres statuts;22;817,3;1603,91;45,6043651;3046,015
