insee_com;territoire;;;
64031;Pays de Bidache;;;
64094;Pays de Bidache;;;
64113;Pays de Bidache;;;
64123;Pays de Bidache;;;
64161;Pays de Bidache;;;
64250;Pays de Bidache;;;
64502;Pays de Bidache;;;
