annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;103;1508,45;1965,341;74,6774041;3412,7848
2010;GAEC;0;0;0;0;0
2010;EARL;7;253,48;671,442;12,4486186;1055,91025
2010;autres statuts;3;97;-999;4,4765284;-999
2020;exploitations individuelles;79;1148,9;1278,057;65,7109524;2194,6523978
2020;GAEC;-999;-999;-999;-999;-999
2020;EARL;7;269,59;524,62;15,1534127;769,65166
2020;autres statuts;5;107,98;-999;44,435;1611,33626
