insee_com;territoire;;;
64038;Errobi;;;
64100;Errobi;;;
64160;Errobi;;;
64213;Errobi;;;
64255;Errobi;;;
64279;Errobi;;;
64282;Errobi;;;
64317;Errobi;;;
64350;Errobi;;;
64527;Errobi;;;
64547;Errobi;;;
