devenir_classe;n;sau_ha;n_pcent;sau_pcent
nombre d'exploitations non concernées;308;12430,88;0,865168539325843;0,924796250488218
total d'exploitations concernées;48;1010,87;0,134831460674157;0,0752037495117823
pas de départ du chef ou coexploitant envisagé dans l'immédiat;21;376,09;0,0589887640449438;0,0279792437740622
reprise par un coexploitant, un membre de la famille ou un tiers;13;276,9;0,0365168539325843;0,0205999962802462
ne sait pas;11;350,85;0,0308988764044944;0,0261015120799003
disparition au profit de l'agrandissement d'une ou plusieurs autres exploitations;-999;-999;-999;-999
disparition des terres au profit d'un usage non agricole;-999;-999;-999;-999
