insee_com;territoire;;;
64045;Iholdi Oztibarre;;;
64046;Iholdi Oztibarre;;;
64150;Iholdi Oztibarre;;;
64265;Iholdi Oztibarre;;;
64267;Iholdi Oztibarre;;;
64271;Iholdi Oztibarre;;;
64273;Iholdi Oztibarre;;;
64285;Iholdi Oztibarre;;;
64313;Iholdi Oztibarre;;;
64314;Iholdi Oztibarre;;;
64437;Iholdi Oztibarre;;;
64487;Iholdi Oztibarre;;;
64528;Iholdi Oztibarre;;;
