sexe;age_5;2010;2020;
F;(0,25];19;19;
F;(25,30];47;44;
F;(30,35];94;82;
F;(35,40];178;147;
F;(40,45];222;175;
F;(45,50];264;198;
F;(50,55];269;213;
F;(55,60];263;289;
F;(60,65];115;133;
F;(65,70];38;71;
F;(70,Inf];81;75;
M;(0,25];100;121;
M;(25,30];239;168;
M;(30,35];312;246;
M;(35,40];442;377;
M;(40,45];554;385;
M;(45,50];586;458;
M;(50,55];547;514;
M;(55,60];461;514;
M;(60,65];196;215;
M;(65,70];80;135;
M;(70,Inf];165;128;
