lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;1825;1310;-0,282191780821918;968,1851035;909,552936507936;-0,0605588402260142
chefs d'exploitations, coexploitants;885;802;-0,0937853107344633;717,625;706,75;-0,0151541543285142
  └─ dont coexploitants familiaux;133;192;0,443609022556391;113,625;176,625;0,554455445544555
main d'œuvre familiale;504;268;-0,468253968253968;211,875;164,25;-0,224778761061947
salariés permanents;22;34;0,545454545454545;15,375;21,75;0,414634146341463
sous-total main d'œuvre permanente;1411;1104;-0,217576187101346;944,875;892,75;-0,055166027252282
saisonniers et salariés occasionnels;414;206;-0,502415458937198;23,3101035;15,4279365;-0,338143801034603
