devenir_classe;n;sau_ha;n_pcent;sau_pcent
nombre d'exploitations non concernées;479;20126,25;0,797004991680532;0,871164032271539
total d'exploitations concernées;122;2976,46;0,202995008319468;0,128835967728461
pas de départ du chef ou coexploitant envisagé dans l'immédiat;44;971,78;0,0732113144758735;0,04206346355038
reprise par un coexploitant, un membre de la famille ou un tiers;28;1130,54;0,0465890183028286;0,0489353846366941
ne sait pas;40;718,82;0,0665557404326123;0,0311140987356029
disparition au profit de l'agrandissement d'une ou plusieurs autres exploitations;10;155,32;0,0166389351081531;0,00672302080578426
disparition des terres au profit d'un usage non agricole;0;0;0;0
