annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;462;10783,11;18689,965;542,9572414;21291,44537
2010;GAEC;39;2342,29;4615,573;99,8537563;5391,51884
2010;EARL;56;2395,58;5704,868;114,2980058;7048,430598
2010;autres statuts;19;785,83;1133,666;58,6128639;-999
2020;exploitations individuelles;364;8259,32;12954,545;305,3621429;14821,00265
2020;GAEC;57;3271,91;6486,273;141,7993651;7526,60113
2020;EARL;71;3408,26;7878,746;113,2461111;9586,86439
2020;autres statuts;16;716,11;1047,41;32,8111111;4025,58207
