annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;38;297,44;295,363;50,6833444;1319,86625
2010;GAEC;-999;-999;0;-999;-999
2010;EARL;3;61,02;-999;12,6666667;651,52794
2010;autres statuts;7;58,03;46,811;33,5211063;534,6578
2020;exploitations individuelles;19;151,66;90,329;15,9422222;402,01833
2020;GAEC;-999;-999;0;-999;-999
2020;EARL;3;54,66;0;12,1233333;496,94568
2020;autres statuts;5;53,63;-999;25,43;618,98245
