annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;219;1665,61;1345,819;160,3673204;1716,56283
2010;petites;135;3475,23;5575,835;159,5260425;7209,80007
2010;moyennes;35;1306,27;3576,062;76,5349569;4680,45971
2010;grandes;5;410,85;1202,21;16,625;2201,45315
2020;microexploitations;154;1549,36;943,359;125,4192063;1382,65993
2020;petites;120;3283,33;5468,738;161,4329365;6784,81043
2020;moyennes;37;1508,84;3584,03;88,859127;5082,32901
2020;grandes;-999;-999;-999;-999;-999
