age_5;2010;2020;;
(0,25];8;12;;
(25,30];25;12;;
(30,35];30;26;;
(35,40];32;39;;
(40,45];52;44;;
(45,50];65;38;;
(50,55];68;49;;
(55,60];59;63;;
(60,65];42;37;;
(65,70];13;25;;
(70,Inf];44;17;;
