lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;972;648;-0,333333333333333;413,0533198;382,499365079365;-0,0739709699838005
chefs d'exploitations, coexploitants;438;362;-0,17351598173516;312,625;279;-0,107556977209116
  └─ dont coexploitants familiaux;36;44;0,222222222222222;30,125;38,25;0,269709543568465
main d'œuvre familiale;160;96;-0,4;73,25;53,625;-0,267918088737201
salariés permanents;21;36;0,714285714285714;18,375;28,625;0,557823129251701
sous-total main d'œuvre permanente;619;494;-0,201938610662359;404,25;361,25;-0,106369820655535
saisonniers et salariés occasionnels;353;154;-0,563739376770538;8,8033198;20,9993651;1,38539159965539
