annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;610;16041,41;25954,586;655,1702108;27047,626326
2010;GAEC;67;3852,16;6911,208;167,4640106;7300,34494
2010;EARL;59;3421,37;5187,808;127,5148538;7256,74763
2010;autres statuts;10;421,55;722,427;18,0360282;736,2242
2020;exploitations individuelles;386;10310;14744,484;414,1162698;16004,72718
2020;GAEC;135;9065,88;14645,741;344,5746825;16285,58069
2020;EARL;66;3191,77;4666,348;122,6086508;6110,8152944
2020;autres statuts;14;535,06;972,104;28,2533333;1973,8754
