annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;3551;80075,36;135214,139;3835,3984965;161277,958068
2010;GAEC;317;17794,52;36374,504;835,7106886;43067,98961
2010;EARL;464;21750,46;44488,035;908,0688294;62400,230548
2010;autres statuts;123;4777,57;9834,372;253,6484123;24621,13614
2020;exploitations individuelles;2530;57049,85;87897,525;2389,0524603;105380,8538178
2020;GAEC;585;33616,29;66150,017;1446,3157143;76043,43148
2020;EARL;520;23952,28;46968,361;877,146746;64596,6937444
2020;autres statuts;142;4933,56;9978,119;297,7069841;18542,20626
