annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;351;4823,46;7800,06;320,0331075;10792,56058
2010;GAEC;14;714,86;1784,17;42,5174823;2162,64625
2010;EARL;19;737,19;1881,62;33,0840618;2303,94665
2010;autres statuts;10;582,45;234,076;17,4186681;549,12228
2020;exploitations individuelles;252;4196,8;6131,647;237,8493651;8258,63165
2020;GAEC;27;1297,33;2342,52;71,1739683;2993,7554
2020;EARL;24;768,42;1434,06;38,294127;1944,70663
2020;autres statuts;10;190,19;365,07;35,1819048;573,55868
