lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;211;310;0,469194312796209;91,6025511;130,174365079365;0,421077945059164
chefs d'exploitations, coexploitants;118;107;-0,0932203389830508;66,375;76,25;0,148775894538606
  └─ dont coexploitants familiaux;5;10;1;3,25;9;1,76923076923077
main d'œuvre familiale;51;19;-0,627450980392157;19,5;11,375;-0,416666666666667
salariés permanents;-999;44;-999;-999;39,75;-999
sous-total main d'œuvre permanente;171;170;-0,00584795321637432;87,375;127,375;0,457796852646638
saisonniers et salariés occasionnels;40;140;2,5;4,2275511;2,7993651;-0,337828205080714
