annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;71;618,42;468,786;35,1986703;563,44224
2010;petites;27;675,23;1012,429;28,4290614;1525,33131
2010;moyennes;12;474,28;891,168;21,0736186;1759,273
2010;grandes;3;91;-999;6,9012009;1465,9905
2020;microexploitations;59;516,76;331,457;33,8888889;444,6472678
2020;petites;19;556,78;507,14;44,0114286;1023,2521
2020;moyennes;13;526,51;1125,82;23,2740476;1745,4971
2020;grandes;-999;-999;-999;-999;-999
