lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;2345;1542;-0,342430703624733;838,7611468;671,615555555556;-0,199276745092605
chefs d'exploitations, coexploitants;814;675;-0,170761670761671;635,5;547,625;-0,138276947285602
  └─ dont coexploitants familiaux;169;120;-0,289940828402367;128,375;98,625;-0,2317429406037
main d'œuvre familiale;463;175;-0,622030237580994;162,25;90,125;-0,444530046224962
salariés permanents;24;24;0;11,875;14,5;0,221052631578947
sous-total main d'œuvre permanente;1301;874;-0,328209069946195;809,625;652,25;-0,194380114250425
saisonniers et salariés occasionnels;1044;668;-0,360153256704981;29,1361468;17,1155556;-0,412566262880032
