annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;172;1745,31;788,812;90,1248257;1326,88203
2010;petites;292;10228,44;15377,882;394,3623067;17798,36531
2010;moyennes;158;9044,44;18041,869;313,4031423;22071,31198
2010;grandes;20;1057,5;4680,652;40,870872;6584,77409
2020;microexploitations;160;2215,84;701,522;89,994127;1445,17769
2020;petites;229;8816,89;11469,56;277,8679365;13788,27919
2020;moyennes;144;8989,93;17187,388;259,8614286;20226,85179
2020;grandes;19;1312,8;5102,566;43,8920635;7751,71885
