sexe;age_5;2010;2020;
F;(0,25];7;3;
F;(25,30];12;10;
F;(30,35];21;24;
F;(35,40];36;36;
F;(40,45];47;43;
F;(45,50];37;44;
F;(50,55];59;47;
F;(55,60];45;54;
F;(60,65];11;24;
F;(65,70];3;14;
F;(70,Inf];6;9;
M;(0,25];21;39;
M;(25,30];60;23;
M;(30,35];73;54;
M;(35,40];97;74;
M;(40,45];124;83;
M;(45,50];111;104;
M;(50,55];110;113;
M;(55,60];99;90;
M;(60,65];26;38;
M;(65,70];10;19;
M;(70,Inf];14;22;
