annee;stat_r;n_exploit;sau_ha;ugb;etp;pbs
2010;exploitations individuelles;719;16758,71;34624,692;838,2677182;39734,68798
2010;GAEC;85;4030,85;8892,157;218,6996365;10352,53942
2010;EARL;62;2282,18;6680,849;135,4978166;9420,05297
2010;autres statuts;9;173,5;301,072;20,7083333;1193,04781
2020;exploitations individuelles;523;11439,94;22627,351;534,7076984;25688,19891
2020;GAEC;155;7454,26;17631,035;375,9954762;19363,68452
2020;EARL;76;2774,86;7890,646;127,939127;10484,26176
2020;autres statuts;16;445,98;2383,921;24,8718254;2322,0137
