devenir_classe;n;sau_ha;n_pcent;sau_pcent
nombre d'exploitations non concernées;644;19834,89;0,836363636363636;0,896895958587459
total d'exploitations concernées;126;2280,15;0,163636363636364;0,103104041412541
pas de départ du chef ou coexploitant envisagé dans l'immédiat;40;739,33;0,051948051948052;0,0334310948567129
reprise par un coexploitant, un membre de la famille ou un tiers;34;735,01;0,0441558441558442;0,0332357526823375
ne sait pas;49;792,08;0,0636363636363636;0,0358163494165057
disparition au profit de l'agrandissement d'une ou plusieurs autres exploitations;3;13,73;0,0038961038961039;0,00062084445698493
disparition des terres au profit d'un usage non agricole;0;0;0;0
