lib;n_2010;n_2020;n_evol;etp_2010;etp_2020;etp_evol
main d'œuvre totale;995;696;-0,300502512562814;623,0928371;518,633888888889;-0,167645881948
chefs d'exploitations, coexploitants;472;484;0,0254237288135593;419,75;428,375;0,0205479452054795
  └─ dont coexploitants familiaux;84;122;0,452380952380952;74,375;111,375;0,497478991596639
main d'œuvre familiale;393;136;-0,653944020356234;186,75;67,875;-0,636546184738956
salariés permanents;5;25;4;3;17,875;4,95833333333333
sous-total main d'œuvre permanente;870;645;-0,258620689655172;609,5;514,125;-0,156480721903199
saisonniers et salariés occasionnels;125;51;-0,592;13,5928371;4,0088889;-0,705073424296389
