annee;dim;n_exploit;sau_ha;ugb;etp;pbs
2010;microexploitations;79;873,79;326,538;52,1618343;713,35392
2010;petites;92;3637,94;3136,958;110,4465849;5633,76565
2010;moyennes;65;3631,07;5713,93;113,8264896;9590,883672
2010;grandes;20;1422,3;3964,592;56,7325221;10328,15275
2020;microexploitations;83;1308,2;342,151;51,4626984;681,18387
2020;petites;77;3044,76;2122,938;85,4742063;4067,73863
2020;moyennes;52;3522,89;4733,453;108,2615873;8026,79663
2020;grandes;19;1305,16;4046,538;40,0416667;8750,55752
