age_5;2010;2020;;
(0,25];6;4;;
(25,30];8;14;;
(30,35];22;16;;
(35,40];47;32;;
(40,45];37;31;;
(45,50];55;47;;
(50,55];37;34;;
(55,60];47;51;;
(60,65];21;20;;
(65,70];10;15;;
(70,Inf];19;19;;
